Metric,Value
Optimization_Objective,Maximize total revenue s.t. LTV/CAC>=3.0
Current_Avg_Price,$190.19
Recommended_Price,$114.11
Price_Change,-40.0%
Implied_Monthly_Churn,4.11%
Implied_LTV_CAC,8.27
Modelled_Total_Revenue,"$1,226,236"
Price_Elasticity,"-1.029 (95% CI [-1.24,-0.82])"
Revenue_Model_R2,0.967
Revenue_Model_CV_R2,0.968 +/- 0.001
Revenue_Model_MAE,$15.83
Churn_Model_AUC,0.889
Churn_Label_Definition,monthly_churn > median (5.85%)
Segments,4
Total_Customers,7057
Note,"Recommendation is a modelled scenario under stated elasticity assumptions, not a point forecast."
