price,churn,ltv,ltv_cac,expected_customers,total_revenue
114.11,0.0411,2061.39,8.27,11939,1226235.97
117.34,0.0417,2090.31,8.39,11601,1225236.83
120.56,0.0423,2118.83,8.51,11282,1224265.56
123.78,0.0428,2146.97,8.62,10980,1223320.66
127.01,0.0434,2174.74,8.73,10693,1222400.75
130.23,0.0439,2202.17,8.84,10421,1221504.56
133.45,0.0445,2229.25,8.95,10162,1220630.92
136.68,0.045,2256.02,9.06,9915,1219778.74
139.9,0.0455,2282.47,9.16,9680,1218947.0
143.12,0.046,2308.61,9.27,9456,1218134.75
146.35,0.0466,2334.47,9.37,9242,1217341.12
149.57,0.0471,2360.04,9.47,9037,1216565.28
152.79,0.0476,2385.33,9.58,8840,1215806.46
156.02,0.0481,2410.36,9.68,8653,1215063.95
159.24,0.0486,2435.13,9.77,8472,1214337.06
162.46,0.0491,2459.66,9.87,8299,1213625.15
165.69,0.0495,2483.94,9.97,8133,1212927.65
168.91,0.05,2507.99,10.07,7973,1212243.97
172.13,0.0505,2531.8,10.16,7820,1211573.59
175.36,0.051,2555.4,10.26,7672,1210916.01
178.58,0.0514,2578.78,10.35,7529,1210270.75
181.81,0.0519,2601.95,10.44,7392,1209637.37
185.03,0.0524,2624.92,10.54,7260,1209015.45
188.25,0.0528,2647.68,10.63,7132,1208404.58
191.48,0.0533,2670.25,10.72,7008,1207804.39
194.7,0.0537,2692.64,10.81,6889,1207214.5
197.92,0.0541,2714.84,10.9,6773,1206634.58
201.15,0.0546,2736.86,10.99,6662,1206064.31
204.37,0.055,2758.7,11.07,6553,1205503.36
207.59,0.0555,2780.37,11.16,6449,1204951.45
210.82,0.0559,2801.87,11.25,6347,1204408.29
214.04,0.0563,2823.21,11.33,6249,1203873.61
217.26,0.0567,2844.39,11.42,6153,1203347.15
220.49,0.0571,2865.42,11.5,6061,1202828.67
223.71,0.0576,2886.29,11.59,5971,1202317.94
226.93,0.058,2907.01,11.67,5884,1201814.73
230.16,0.0584,2927.58,11.75,5799,1201318.82
233.38,0.0588,2948.01,11.83,5717,1200830.01
236.6,0.0592,2968.3,11.92,5636,1200348.09
239.83,0.0596,2988.45,12.0,5558,1199872.89
243.05,0.06,3008.47,12.08,5483,1199404.22
246.27,0.0604,3028.35,12.16,5409,1198941.9
249.5,0.0608,3048.11,12.24,5337,1198485.77
252.72,0.0612,3067.73,12.31,5267,1198035.67
255.95,0.0616,3087.24,12.39,5198,1197591.44
259.17,0.062,3106.62,12.47,5132,1197152.92
262.39,0.0623,3125.88,12.55,5067,1196719.99
265.62,0.0627,3145.02,12.62,5004,1196292.5
268.84,0.0631,3164.04,12.7,4942,1195870.31
272.06,0.0635,3182.96,12.78,4882,1195453.3
275.29,0.0639,3201.76,12.85,4823,1195041.35
278.51,0.0642,3220.45,12.93,4766,1194634.33
281.73,0.0646,3239.03,13.0,4709,1194232.13
284.96,0.065,3257.51,13.08,4655,1193834.64
288.18,0.0653,3275.88,13.15,4601,1193441.75
291.4,0.0657,3294.15,13.22,4549,1193053.36
294.63,0.0661,3312.32,13.3,4497,1192669.37
297.85,0.0664,3330.39,13.37,4447,1192289.67
301.07,0.0668,3348.37,13.44,4398,1191914.18
304.3,0.0671,3366.24,13.51,4350,1191542.81
