date,askingPrice,revenueMultiple,listingHeadline,listingType,totalRevenueAnnual,totalProfitAnnual,totalGrowthAnnual,location,dateFounded,team,about,revenue,customers,keywords,annualProfit,growthAnnual,techStack,businessModel,competitors,weeklyViews
2023-04-05,11693846,7.1,Low-Code SaaS Platform  specifically designed for Financial Institutions.,platinum,1635872,798854,15.0,Mexico,2016-05-01,40,"Profitable SaaS with $1,635,872 in TTM revenue and $798,854 in TTM profit that is tailored to meet the specific needs of financial institutions operating in the Mexican market. The user-friendly solution allows businesses to create and manage digital processes for customers and employees without requiring extensive technical skills. It has built-in connections to essential services such as government information, credit score providers, risk providers, international blacklists, open banking connections, and more, which financial institutions can leverage without the need to enable the connections themselves. 

✅ $1,635,872 in TTM revenue
✅ $798,854 in TTM profit
✅ $131,556 in revenue last month
✅ $54,275 in profit last month
✅ Competitors: Kissflow, Modyo, Servicenow, Pipefy, Kiban

With the platform, financial institutions can develop and implement digital products quickly, reducing the time to market by a factor of 10. This efficiency leads to improved customer experiences, increased employee productivity, and the ability to scale operations, providing financial institutions with a competitive advantage in the fast-paced digital world.",1635872.0,10-100,"Mexico, LowCode, Low Code, Finance, Fintech",798854,15.0,"Our product is built on:
Nginx
React
Jboss
Grails
Neo4j
PostgreSQL
Python","Our business operates on a SaaS model, targeting B2B customers, specifically financial institutions. We offer five distinct pricing tiers to fill the different needs of our clients. To provide additional value, we waive implementation costs for customers who commit to a 24-month contract, ensuring a long-term partnership.","['https://kissflow.com/', 'https://www.modyo.com/', 'https://www.servicenow.com/', 'https://www.pipefy.com/', 'https://www.kiban.com/']",126
2023-03-29,1000000,0.7,"High-quality, ethical, and global proxy lists for scraping websites ",platinum,1440000,150000,25.0,Belgium,2020-01-01,5,"Profitable SaaS with $1,400,000 in TTM revenue and $150,000 in TTM profit that provides high-quality proxy lists to users around the world. We have built a strong reputation in the industry by consistently delivering reliable and efficient proxy services to our customers. With a user-friendly interface and advanced features, our platform is easy to use and meets the needs of a wide range of customers. Now, we are looking for a new owner to take the company to the next level.

✅ $1,400,000 in TTM revenue
✅ $150,000 in TTM profit
✅ $130,000 in revenue last month
✅ $21,000 in profit last month
✅ Competitors: Webshare, Proxyrack, Smartproxy",1500000.0,1000-10000,"web scraping, scraping, proxies, proxy",150000,25.0,"PHP, Ubuntu, HTML, CSS, JS","Please note that our accounting year ends in June every year. I will update this info within a day.

Our business operates on a subscription-based business model, with customers paying a monthly fee for access to our proxy lists. We offer a range of pricing options to meet the needs of different customers, including residential, shared datacenter proxies, and dedicated. Our prices are competitive and allow us to maintain a healthy profit margin, even at relatively low price points.

In addition to our subscriptions, we also offer one-time purchases of custom proxy lists. This allows customers to purchase proxy lists tailored to their specific needs, and provides an additional revenue stream for the business.

Overall, our business model has been successful in driving consistent revenue, although profitablity is currently not as good, and we are having difficulties scaling further.

Info on google analytics: The reason you see a segnificant drop in website users after May 2022 is because we split away part of our user base to another website, because they were not generating any revenue and just polluting our statisitics.","['Webshare', 'Proxyrack', 'Smartproxy']",5
2023-03-29,1500000,5.0,"Cost-effective, no-code platform for SMBs to create, publish, & monetize apps",platinum,300000,100000,105.0,Turkey,2014-03-01,5,"Profitable SaaS with $300,000 in TTM revenue and $100,000 in TTM profit that enables anyone to create apps without coding and make money with them. All the apps are native and compatible with Android and iOS. Its mission is to provide a cost-effective app-making platform for small to medium size businesses. Also, content creators can make their content app and monetize it. Agencies or freelancers can build apps for SMBs and sell them.

✅ $300,000 in TTM revenue
✅ $100,000 in TTM profit
✅ $25,000 in revenue last month
✅ $10,000 in profit last month
✅ Competitors: Goodbarber, Shoutem, Biznessapps, Adalo, Buildfire",300000.0,100-1000,"SaaS, mobile app builder",100000,105.0,"Backend : .Net Core
Frontend : Angular
Mobile Clients : Kotlin, Swift 
Database : MSSQL, PostgreSQL, Mongo (some services)","As a SaaS company, our business model is based on providing a subscription-based service that offers our customers access to our software and platform. We offer three pricing plans Eco, Pro and Business, with each plan tailored to meet the specific needs of our customers.

Our Eco plan is priced at $18 per month and is designed for individuals or small teams who require basic features and functionality. The Pro plan is priced at $54 per month and offers additional features and support for larger teams or businesses. Our Business plan, which is priced at $90 per month, provides advanced functionality and support for enterprises and organizations with complex needs.

We determine our pricing based on a variety of factors, including the level of service and support we provide, the value that our software delivers to our customers, and the pricing strategies of our competitors. We regularly review and adjust our pricing to ensure that we are offering competitive and transparent pricing to our customers while maintaining our profitability as a company.","['Goodbarber', 'Shoutem', 'Biznessapps', 'Adalo', 'Buildfire']",4
2023-03-09,1800000,1.5,Social Media Management and Growth Software.,platinum,1230000,375000,,United States,2022-08-01,4,"Profitable SaaS ChatGPT-powered social media management and growth with $1,230,000 in TTM revenue and $375,000 in TTM profit that helps you get more Instagram followers, likes, and comments (and a bunch of other stuff) 10x faster. Compared to other growth services, it attracts more real Instagram users interested in your account and converts them to followers, without ever putting your account at any risk of getting banned or flagged.

✅ $1,230,000 in TTM revenue
✅ $375,000 in TTM profit
✅ $201,940 in revenue last month
✅ $110,000 in profit last month
✅ Competitors: Kicksta",2028286.44,1000-10000,saas,375000,0.0,"AWS, React","B2B Self-Serve SaaS with  three monthly pricing tiers: $49, $99, $249",['Kicksta'],8
2023-02-28,7302360,5.0,"CRM Software (Saas) with Email and Whatsapp automation for SMBs in Latin America and Spain
",platinum,1460472,521376,112.0,Argentina,2019-01-01,4,"Profitable SaaS with $1,460,472 in TTM revenue and $521,376 in TTM profit for small and medium-sized B2B businesses in Latin America and Spain. It helps companies automate their sales follow-up process.

✅ $1,460,472 in TTM revenue
✅ $521,376 in TTM profit
✅ $121,706 in revenue last month
✅ $43,448 in profit last month
✅ Competitors: Hubspot, Pipedrive, Zoho",1460472.0,100-1000,"CRM, Saas, Latam, Sales, Automation",521376,112.0,PHP/Laravel - NodeJS/Typescript - Serverless/Lambda - Vue.js,"B2B Saas charging a monthly recurring fee: $99 (basic), $129(premium) +$25 extra user ","['Hubspot', 'Pipedrive', 'Zoho']",18
2023-02-25,1750000,2.8,Workspace as a Service platform for remote/hybrid work and collaboration,platinum,636097,0,11.0,Spain,2008-01-01,25,"SaaS with $636,000 in TTM revenue and $29,000 in revenue last month is a global cloud-based workspace as a service for coding, digital content creation and management, working in pure cloud as well as hybrid environments. It uses virtual desk solutions with graphic capacity in the cloud, allowing users to connect to powerful virtual desktops from anywhere through any equipment, while keeping their own way of working and their own engine and tools. The solution allows users to connect to powerful virtual desktops from anywhere, via any equipment, and with unrivaled flexibility. 

✅ $636,000 in TTM revenue
✅ $29,000 in revenue last month
✅ Bootstrapped
✅ Competitors: Workspot, AWS Thinkbox, Shadow, Stratuscore, +2 others",530000.0,10-100,"Spain, Software, Technology, Virtual Cloud, Desktop-as-a-service, DaaS, IT Services, IT Consulting, VMWare, SaaS",0,11.0,"VMWare, IBM Cloud","Its revenue is B2B and the primary revenue stream is currently driven by the use of VDI, storage, licenses, as well as Edge Access

Recurring: Customers who are expected to renew over a longer period (e.g., 12 months+) are classified as recurring revenue

Pay-as-you-go: Customers who use the platform on an as-needed basis. PAYG customers usually arise from specific projects or short-term requirements

Pay-as-you-go recurring: Similar to recurring revenue, however, PAYG recurring revenue has periods within the year where no revenue is recognized, due to the nature of the project the customer is undertaking. Education verticals are often considered PAYG recurring - while they will reliably renew each year, it may not invoice the customer for several months in the year.

Pricing is either ""pay per machine"" or ""pay per user/hour""","['Workspot', 'AWS Thinkbox', 'Shadow', 'Stratuscore', 'Render Wise', 'Artella']",0
2023-02-22,2250000,4.2,"Sales automation software for lead gen agencies, startups and service businesses
",platinum,540000,170000,30.0,India,2020-05-01,24,"Profitable SaaS with $540,000 in TTM revenue and $171,000 in TTM profit that helps sales teams and agencies generate leads on autopilot from email and LinkedIn. Its mission is to make sales less painful for you and your customers. We are on a mission to make sales less painful for you and your customers. Our plan is to use Artificial Intelligence to create curated list of prospects and allow you to reach out to them using human-like messages on autopilot. 

✅ $540,000 in TTM revenue
✅ $171,000 in TTM profit
✅ $51,600 in revenue last month
✅ $15,900 in profit last month
✅ Competitors: Outreach, Salesloft, Apollo, Mailshake, Reply",634694.0,100-1000,"sales, automation, sales engagement",170000,30.0,"Java Spring boot, NodeJS, ReactJS
",SaaS per seat model,"['Outreach', 'Salesloft', 'Apollo', 'Mailshake', 'Reply']",49
2023-02-20,1350000,3.7,Intuitive capital fundraising and investor relations software for commercial real estate operators.,platinum,360466,-216321,30.291411098133278,United States,2017-04-01,4,"SaaS all-in-one investment management with $435,000 in ARR and $384,000 in TTM revenue for small to mid-size commercial real estate investment firms that raise outside capital. Its tools help teams increase productivity and investor satisfaction by automating fundraising, reporting, and investor relations workflows.

✅ $384,000 in TTM revenue
✅ $21,000 in revenue last month
✅ $17,000 in profit last month
✅ Tech: React (micro-frontends/webpack 5), Node.js, GraphQL, FaaS, Polaris, Nx, AWS
✅ Competitors: Juniper Square, Agora Real, Appfolio, InvestNext, +2 others",434511.12,100-1000,"Real estate fundraising software, Real estate investor management software, Real estate capital raising software, Real estate investor relations software, Distribute K-1s to investors, Send investors distributions via ACH",-216321,30.291411098133278,"React (micro-frontends/webpack 5)
Node.js
GraphQL
FaaS
Polaris
Nx
AWS","B2B SaaS charging an annual subscription between $1,000 and $12,000 based on admin seats and assets under management. 
Add-on recurring services fees on an annual subscription between $3,600 and $12,000 based on number of investors.
Add-on equity/debt placement fees of 1-3% of transaction size.","['Juniper Square', 'Agora Real', 'Appfolio', 'InvestNext', 'SyndicationPro', 'Cashflowportal']",6
2023-02-20,3000000,2.5,"Fully integrated Print on Demand Software with Shopify, BigCommerce, Etsy, and LightFunnels.",platinum,1212891,-64784,0.0,United Kingdom,2018-01-01,10,"Profitable SaaS with $1,200,000 in TTM revenue that offers a cost-effective and convenient solution for businesses to sell custom-designed merchandise. Customers are only charged a wholesale price and shipping price once their products are sold, allowing them to minimize upfront costs and minimize the risk of unsold inventory. With the software, businesses can turn their designs into products and reach new customers and markets with ease.

✅ $1,200,000 in TTM revenue
✅ $ in TTM profit
✅ $40,000 in revenue last month
✅ $2,000 in profit last month
✅ Competitors: Printful, Printify, Gelato",0.0,,"print on demand,  software, big commerce,  shopify, etsy",-64784,0.0,"AWS, YII, PHP","Our software offers a cost-effective and convenient solution for businesses to sell custom-designed merchandise. Customers are only charged a wholesale price and shipping price once their products are sold, allowing them to minimize upfront costs and minimize the risk of unsold inventory. With our software, businesses can turn their designs into products and reach new customers and markets with ease.","['Printful', 'Printify', 'Gelato']",5
2023-02-17,1532000,4.0,Long-form AI content generator designed for SEO & content publishers,platinum,383395,250480,0.0,United States,2022-05-01,2,"Profitable SaaS with $383,395 in TTM revenue and $250,480 in TTM profit that helps for content publishers create 5,000+ word articles with minimal input and minimal edits required afterward. Join the fastest-growing industry in tech. Over 3,000 users, plenty of room to grow, and plenty of opportunity for large enterprise accounts with the release of the API.

✅ $383,395 in TTM revenue
✅ $250,480 in TTM profit
✅ $39,869 in revenue last month
✅ $21,877 in profit last month
✅ Competitors: Jasper, WriteSonic, Frase.io",383395.0,1000-10000,"SaaS, Angular, AI, AI Writer, SEO, AI Content, API",250480,0.0,"Angular, Firebase, OpenAI, Stripe","Most sales are lifetime deal sales ranging from $99 - $2800. We also are about to release our API which will be a paid monthly fee (we may experiment with 6 or 12 month contractual commitments with this). Many prospective API customers have agreed to pay at least $299/mo for this, some have agreed to pay $1k+/mo. There's also one business we're talking with right now that may become a $5k/mo customer.

Outside of lifetime deals & API customers, we have a few monthly recurring subscribers ($3.2k MRR), but we stopped offering this in October and opted only for lifetime deals as we like it better as a pricing model.

Here's why we like lifetime deals as a pricing model:
- Great cashflow: mitigates long-term risk by collecting all cash up front for an account
- Higher LTV: Since churn is quite high amongst almost all AI products, our calculations showed that the LTV of a customer is actually higher if we do a lifetime deal vs. monthly plans.
- It's a great marketing channel through AppSumo
- Feels like a great deal for the customer which results in better conversion rates.

Lastly, we offer a paid trial ($7 for 7 day trial), which is mostly there to avoid freeloaders, but also I think psychologically it is good for a user to make a micro-commitment so they actually give the software a full try. ","['Jasper', 'WriteSonic', 'Frase.io']",10
